admission_index,task_id,cve_id,cwe_id,language,repo_url,changed_files,static_oracle_source,dynamic_oracle_source,native_gate_kind,native_gate_command,native_gate_note,clean_passed,restored_passed,primary_security_endpoint,secondary_deployment_endpoint,native_caveat,pre_registered
1,LLMCEC-0034,CVE-2021-39212,CWE-668,C,https://github.com/ImageMagick/ImageMagick,"['MagickCore/module.c', 'MagickCore/static.c']",quality_static,experiment_lv_validated,pytest,python3 -m pytest -q,pytest marker or tests directory,False,False,repo_apply_and_static_and_dynamic,repo_apply_and_static_and_dynamic_and_native_pass,native_gate_discovered_but_not_restored_pass,True
2,LLMCEC-0035,CVE-2021-44618,CWE-94,PHP,https://github.com/nystudio107/craft-seomatic,['src/helpers/UrlHelper.php'],quality_static,experiment_lv_validated,composer_test,composer test,codecept run unit --coverage-xml,False,False,repo_apply_and_static_and_dynamic,repo_apply_and_static_and_dynamic_and_native_pass,native_gate_discovered_but_not_restored_pass,True
3,LLMCEC-0047,CVE-2022-1064,CWE-89,PHP,https://github.com/forkcms/forkcms,['src/Backend/Modules/Blog/Engine/Model.php'],quality_static,quality_dynamic,npm_test,npm --silent test,standard,False,False,repo_apply_and_static_and_dynamic,repo_apply_and_static_and_dynamic_and_native_pass,native_gate_discovered_but_not_restored_pass,True
4,LLMCEC-0051,CVE-2022-1238,CWE-787,C,https://github.com/radareorg/radare2,['libr/bin/format/ne/ne.c'],quality_static,experiment_lv_validated,pytest,python3 -m pytest -q,pytest marker or tests directory,False,False,repo_apply_and_static_and_dynamic,repo_apply_and_static_and_dynamic_and_native_pass,native_gate_discovered_but_not_restored_pass,True
5,LLMCEC-0056,CVE-2023-30625,CWE-89,Go,https://github.com/rudderlabs/rudder-server,['router/failed-events-manager.go'],quality_static,experiment_lv_validated,go_test,go test ./...,go.mod,False,False,repo_apply_and_static_and_dynamic,repo_apply_and_static_and_dynamic_and_native_pass,native_gate_discovered_but_not_restored_pass,True
6,LLMCEC-0063,CVE-2021-30219,CWE-476,C,https://github.com/michaelforney/samurai,['parse.c'],quality_static,quality_dynamic,make_build,make,experiment_lix_native_build_gate,True,True,repo_apply_and_static_and_dynamic,repo_apply_and_static_and_dynamic_and_native_pass,restored_upstream_native_pass,True
7,LLMCEC-0065,CVE-2022-0326,CWE-476,C,https://github.com/mruby/mruby,['mrbgems/mruby-compiler/core/codegen.c'],quality_static,experiment_lv_validated,pytest,python3 -m pytest -q,pytest marker or tests directory,False,False,repo_apply_and_static_and_dynamic,repo_apply_and_static_and_dynamic_and_native_pass,native_gate_discovered_but_not_restored_pass,True
8,LLMCEC-0066,CVE-2022-36044,CWE-787,C,https://github.com/rizinorg/rizin,"['librz/bin/bobj.c', 'librz/bin/format/luac/luac_bin.c']",heldout_static,experiment_lv_validated,pytest,python3 -m pytest -q,pytest marker or tests directory,False,False,repo_apply_and_static_and_dynamic,repo_apply_and_static_and_dynamic_and_native_pass,native_gate_discovered_but_not_restored_pass,True
9,LLMCEC-0067,CVE-2023-48217,CWE-434,PHP,https://github.com/statamic/cms,"['src/Http/Controllers/CP/Assets/AssetsController.php', 'src/Http/Controllers/CP/Fieldtypes/FilesFieldtypeController.php', 'src/Http/Controllers/FormController.php']",quality_static,experiment_lv_validated,npm_test,npm --silent test,cross-env NODE_ENV=test jest --silent,False,False,repo_apply_and_static_and_dynamic,repo_apply_and_static_and_dynamic_and_native_pass,native_gate_discovered_but_not_restored_pass,True
10,LLMCEC-0068,CVE-2023-51449,CWE-22,Python,https://github.com/gradio-app/gradio,"['.changeset/tough-zoos-move.md', 'gradio/utils.py', 'test/test_utils.py']",quality_static,quality_dynamic,npm_test,npm --silent test,pnpm --filter @gradio/client build && vitest dev --config .config/vitest.config.ts,False,False,repo_apply_and_static_and_dynamic,repo_apply_and_static_and_dynamic_and_native_pass,native_gate_discovered_but_not_restored_pass,True
11,LLMCEC-0070,CVE-2022-32546,CWE-190,C,https://github.com/ImageMagick/ImageMagick,['coders/pcl.c'],quality_static,experiment_lv_validated,pytest,python3 -m pytest -q,pytest marker or tests directory,False,False,repo_apply_and_static_and_dynamic,repo_apply_and_static_and_dynamic_and_native_pass,native_gate_discovered_but_not_restored_pass,True
12,LLMCEC-0072,CVE-2022-0631,CWE-122,C,https://github.com/mruby/mruby,['src/vm.c'],quality_static,experiment_lv_validated,pytest,python3 -m pytest -q,pytest marker or tests directory,False,False,repo_apply_and_static_and_dynamic,repo_apply_and_static_and_dynamic_and_native_pass,native_gate_discovered_but_not_restored_pass,True
13,LLMCEC-0074,CVE-2021-39207,CWE-502,Python,https://github.com/facebookresearch/ParlAI,['parlai/crowdsourcing/tasks/model_chat/model_chat_blueprint.py'],quality_static,experiment_lv_validated,pytest,python3 -m pytest -q,pytest marker or tests directory,False,False,repo_apply_and_static_and_dynamic,repo_apply_and_static_and_dynamic_and_native_pass,native_gate_discovered_but_not_restored_pass,True
14,LLMCEC-0076,CVE-2022-1382,CWE-476,C,https://github.com/radareorg/radare2,['libr/bin/format/ne/ne.c'],quality_static,experiment_lv_validated,pytest,python3 -m pytest -q,pytest marker or tests directory,False,False,repo_apply_and_static_and_dynamic,repo_apply_and_static_and_dynamic_and_native_pass,native_gate_discovered_but_not_restored_pass,True
15,LLMCEC-0088,CVE-2020-26570,CWE-787,C,https://github.com/OpenSC/OpenSC,['src/libopensc/pkcs15-oberthur.c'],quality_static,experiment_lv_validated,pytest,python3 -m pytest -q,pytest marker or tests directory,False,False,repo_apply_and_static_and_dynamic,repo_apply_and_static_and_dynamic_and_native_pass,native_gate_discovered_but_not_restored_pass,True
16,LLMCEC-0093,CVE-2023-2228,CWE-352,Python,https://github.com/modoboa/modoboa,"['modoboa/admin/views/domain.py', 'modoboa/admin/views/identity.py']",heldout_static,experiment_lv_validated,pytest,python3 -m pytest -q,pytest marker or tests directory,False,False,repo_apply_and_static_and_dynamic,repo_apply_and_static_and_dynamic_and_native_pass,native_gate_discovered_but_not_restored_pass,True
17,LLMCEC-0104,CVE-2023-30625,CWE-89,Go,https://github.com/rudderlabs/rudder-server,['router/failed-events-manager.go'],heldout_static,experiment_lv_validated,go_test,go test ./...,go.mod,False,False,repo_apply_and_static_and_dynamic,repo_apply_and_static_and_dynamic_and_native_pass,native_gate_discovered_but_not_restored_pass,True
18,LLMCEC-0106,CVE-2023-4697,CWE-269,Go,https://github.com/usememos/memos,['server/jwt.go'],quality_static,experiment_lv_validated,go_test,go test ./...,go.mod,False,False,repo_apply_and_static_and_dynamic,repo_apply_and_static_and_dynamic_and_native_pass,native_gate_discovered_but_not_restored_pass,True
19,LLMCEC-0119,CVE-2023-5289,CWE-770,Python,https://github.com/ikus060/rdiffweb,"['rdiffweb/controller/page_admin_users.py', 'rdiffweb/controller/page_pref_sshkeys.py', 'rdiffweb/controller/page_pref_tokens.py']",quality_static,experiment_lv_validated,pytest,python3 -m pytest -q,pytest marker or tests directory,False,False,repo_apply_and_static_and_dynamic,repo_apply_and_static_and_dynamic_and_native_pass,native_gate_discovered_but_not_restored_pass,True
20,LLMCEC-0123,CVE-2021-23389,CWE-94,JavaScript,https://github.com/totaljs/framework,"['changes.txt', 'utils.js']",quality_static,quality_dynamic,npm_test,npm --silent test,"echo ""Error: no test specified"" && exit 1",False,False,repo_apply_and_static_and_dynamic,repo_apply_and_static_and_dynamic_and_native_pass,native_gate_discovered_but_not_restored_pass,True
21,LLMCEC-0128,CVE-2021-43800,CWE-22,JavaScript,https://github.com/Requarks/wiki,['server/helpers/page.js'],heldout_static,heldout_dynamic,npm_test,npm --silent test,"eslint --format codeframe --ext .js,.vue . && pug-lint server/views && jest",False,False,repo_apply_and_static_and_dynamic,repo_apply_and_static_and_dynamic_and_native_pass,native_gate_discovered_but_not_restored_pass,True
22,LLMCEC-0134,CVE-2023-37897,CWE-393,PHP,https://github.com/getgrav/grav,"['CHANGELOG.md', 'system/src/Grav/Common/Data/Validation.php', 'system/src/Grav/Common/Utils.php']",heldout_static,experiment_lv_validated,composer_test,composer test,vendor/bin/codecept run unit,False,False,repo_apply_and_static_and_dynamic,repo_apply_and_static_and_dynamic_and_native_pass,native_gate_discovered_but_not_restored_pass,True
23,LLMCEC-0165,CVE-2022-29237,CWE-287,Java,https://github.com/opencast/opencast,['modules/ingest-service-impl/src/main/java/org/opencastproject/ingest/impl/IngestServiceImpl.java'],heldout_static,experiment_lv_validated,maven_test,mvn -q test,pom.xml,False,False,repo_apply_and_static_and_dynamic,repo_apply_and_static_and_dynamic_and_native_pass,native_gate_discovered_but_not_restored_pass,True
24,LLMCEC-0186,CVE-2023-29017,CWE-913,JavaScript,https://github.com/patriksimek/vm2,['lib/setup-sandbox.js'],heldout_static,heldout_dynamic,npm_test,npm --silent test,mocha test,False,True,repo_apply_and_static_and_dynamic,repo_apply_and_static_and_dynamic_and_native_pass,restored_upstream_native_pass,True
25,LLMCEC-0189,CVE-2022-1728,CWE-190,JavaScript,https://github.com/polonel/trudesk,"['src/models/user.js', 'src/public/js/angularjs/controllers/profile.js', 'src/views/subviews/profile.hbs']",heldout_static,experiment_lv_validated,npm_test,npm --silent test,mocha --recursive,False,False,repo_apply_and_static_and_dynamic,repo_apply_and_static_and_dynamic_and_native_pass,native_gate_discovered_but_not_restored_pass,True
26,LLMCEC-0194,CVE-2022-0766,CWE-918,Python,https://github.com/janeczku/calibre-web,['cps/helper.py'],heldout_static,heldout_dynamic,pytest,python3 -m pytest -q,pytest marker or tests directory,False,False,repo_apply_and_static_and_dynamic,repo_apply_and_static_and_dynamic_and_native_pass,native_gate_discovered_but_not_restored_pass,True
27,LLMCEC-0212,CVE-2021-23418,CWE-611,Python,https://github.com/nicolargo/glances,"['README.rst', 'glances/compat.py', 'optional-requirements.txt', 'requirements.txt', 'setup.py']",heldout_static,experiment_lv_validated,pytest,python3 -m pytest -q,pytest marker or tests directory,False,False,repo_apply_and_static_and_dynamic,repo_apply_and_static_and_dynamic_and_native_pass,native_gate_discovered_but_not_restored_pass,True
28,LLMCEC-0215,CVE-2022-33146,CWE-601,Python,https://github.com/web2py/web2py,['applications/admin/controllers/default.py'],heldout_static,heldout_dynamic,pytest,python3 -m pytest -q,pytest marker or tests directory,False,False,repo_apply_and_static_and_dynamic,repo_apply_and_static_and_dynamic_and_native_pass,native_gate_discovered_but_not_restored_pass,True
29,LLMCEC-0217,CVE-2022-31142,CWE-203,JavaScript,https://github.com/fastify/fastify-bearer-auth,"['plugin.js', 'test/decorate.test.js']",heldout_static,heldout_dynamic,npm_test,npm --silent test,"tap ""test/**/*.test.js"" && tsd",False,True,repo_apply_and_static_and_dynamic,repo_apply_and_static_and_dynamic_and_native_pass,restored_upstream_native_pass,True
30,LLMCEC-0235,CVE-2022-21670,CWE-1333,JavaScript,https://github.com/markdown-it/markdown-it,"['CHANGELOG.md', 'lib/rules_inline/newline.js', 'test/pathological.js']",quality_static,quality_dynamic,npm_test,npm --silent test,npm run lint && nyc mocha && node support/specsplit.js,False,False,repo_apply_and_static_and_dynamic,repo_apply_and_static_and_dynamic_and_native_pass,native_gate_discovered_but_not_restored_pass,True
