task_id,gt_category,gt_rule_id,gt_function,objective_score,patch_commit,patch_available,patch_status,patch_url,patch_cache_path,patch_bytes,patch_sha256,patch_error,api_terms,protection_terms,vuln_terms,api_parent_hits,vuln_parent_hits,upstream_protection_hits,added_protection_hits,removed_protection_hits,parent_exposure_signal,upstream_protection_signal,directional_gain,oracle_validated
APACHE-COMMONS-001,Path Travelsal,"java.nio.file.Files.newInputStream:java.io.InputStream(java.nio.file.Path,java.nio.file.OpenOption[])",newInputStream,10.75,https://github.com/apache/commons-compress/commit/a080293da69f3fe3d11d5214432e1469ee195870,True,downloaded,https://github.com/apache/commons-compress/commit/a080293da69f3fe3d11d5214432e1469ee195870.patch,/root/mddc/artifacts/patch_cache/lxxvii_asr_patch_differential/a080293da69f3fe3d11d5214432e1469ee195870.patch_57d7ac99289c5bc7.patch,3954,5700af117bdf334df82842119c32f2e2055a57acad9698e8ac0287affca02625,,file;files;input;open;option;path;stream,allowlist;base;canonical;containment;directory;normalize;path;realpath;reject;startswith;traversal;validate;verify,canonical;directory;file;files;normalize;open;path;realpath;startswith;traversal,3,5,4,4,3,True,True,True,True
CVE-2018-1000407,XSS (Cross-Site Scripting),java.io.OutputStream.write:void(byte[]),write,13.25,https://github.com/jenkinsci/jenkins/commit/df87e12ddcfeafdba6e0de0e07b3e21f8473ece6,True,downloaded,https://github.com/jenkinsci/jenkins/commit/df87e12ddcfeafdba6e0de0e07b3e21f8473ece6.patch,/root/mddc/artifacts/patch_cache/lxxvii_asr_patch_differential/df87e12ddcfeafdba6e0de0e07b3e21f8473ece6.patch_33d98b93d20281a9.patch,8642,5bbe4d17aa81f42ba1f6de761800211d917edde90a13f066dcfe1d5b3a559d40,,byte;output;stream;write,block;encode;escape;html;sanitize;script;xss,encode;escape;html;sanitize;script;validation;xss,0,0,3,3,0,False,True,True,False
CVE-2018-1002201,Path Travelsal,"java.io.File.<init>:void(java.io.File,java.lang.String)",<init>,13.25,https://github.com/zeroturnaround/zt-zip/commit/759b72f33bc8f4d69f84f09fcb7f010ad45d6fff,True,downloaded,https://github.com/zeroturnaround/zt-zip/commit/759b72f33bc8f4d69f84f09fcb7f010ad45d6fff.patch,/root/mddc/artifacts/patch_cache/lxxvii_asr_patch_differential/759b72f33bc8f4d69f84f09fcb7f010ad45d6fff.patch_37d61b5102424114.patch,7916,d3fff1ead126641ef117cd7bc1faa81c22e3ae77819e01886e821e8ebaf42c91,,file;init,base;canonical;directory;normalize;path;realpath;startswith;traversal;validation,base;canonical;directory;file;normalize;path;realpath;safe;startswith;traversal,1,3,5,5,0,True,True,True,True
CVE-2018-11788,XXE (Improper Restriction of XML External Entity Reference),javax.xml.parsers.DocumentBuilder.parse:org.w3c.dom.Document(java.io.InputStream),parse,12.25,https://github.com/apache/karaf/commit/0c36c50bc158739c8fc8543122a6740c54adafca,True,downloaded,https://github.com/apache/karaf/commit/0c36c50bc158739c8fc8543122a6740c54adafca.patch,/root/mddc/artifacts/patch_cache/lxxvii_asr_patch_differential/0c36c50bc158739c8fc8543122a6740c54adafca.patch_e4610035e8c8fe3a.patch,5816,105348cae547a914e9bd47c69426479eeea7d51474d99e096ca8e8bc6eefe1f4,,builder;document;input;javax;parse;parsers;stream,doctype;entity;external;xml;xxe,doctype;entity;external;input;stream;xml;xxe,7,3,4,4,1,True,True,True,True
CVE-2018-1190,XSS (Cross-Site Scripting),"org.springframework.ui.Model.addAttribute:org.springframework.ui.Model(java.lang.String,java.lang.Object)",addAttribute,12.25,https://github.com/cloudfoundry/uaa/commit/96fe26711f8f8855d2994a531447f730afd61844,True,downloaded,https://github.com/cloudfoundry/uaa/commit/96fe26711f8f8855d2994a531447f730afd61844.patch,/root/mddc/artifacts/patch_cache/lxxvii_asr_patch_differential/96fe26711f8f8855d2994a531447f730afd61844.patch_adfa53e3a34690c5.patch,4979,27dc652d7df0d1db403dd097b69c057b1936e9c1bc743e88d15bcdcddc179d82,,attribute;model;springframework,encode;escape;html;sanitize;script;whitelist;xss,attribute;encode;escape;html;model;sanitize;script;xss,3,3,2,1,0,True,True,True,True
CVE-2018-12432,XSS (Cross-Site Scripting),net.bull.javamelody.HtmlCoreReport.writeln:void(java.lang.String),writeln,12.75,https://github.com/javamelody/javamelody/commit/e0497c1980acebd257d3da78dfde29ae9bdffdf6,True,downloaded,https://github.com/javamelody/javamelody/commit/e0497c1980acebd257d3da78dfde29ae9bdffdf6.patch,/root/mddc/artifacts/patch_cache/lxxvii_asr_patch_differential/e0497c1980acebd257d3da78dfde29ae9bdffdf6.patch_636d5a8412f83fa0.patch,1182,cd522d90745a8f9aed475d4ddbfb3c3c10250b2facdced05cc2b82fc2eb3973e,,bull;core;html;javamelody;report;writeln,encode;escape;html;sanitize;script;xss,encode;escape;html;report;sanitize;script;writeln;xss,6,5,3,3,2,True,True,True,True
CVE-2018-1309,XXE (Improper Restriction of XML External Entity Reference),"org.apache.nifi.xml.processing.sax.StandardInputSourceParser.parse:void(org.xml.sax.InputSource,org.xml.sax.ContentHandler)",parse,13.25,https://github.com/apache/nifi/commit/28067a29fd13cdf8e21b440fc65c6dd67872522f,True,downloaded,https://github.com/apache/nifi/commit/28067a29fd13cdf8e21b440fc65c6dd67872522f.patch,/root/mddc/artifacts/patch_cache/lxxvii_asr_patch_differential/28067a29fd13cdf8e21b440fc65c6dd67872522f.patch_cdd157514459c9d2.patch,19425,67c9bb81e96ac4ea95a50f8e7875ed8737c501c9b76a08663661d05de0e1cf99,,apache;content;handler;input;nifi;parse;parser;processing;source;standard,doctype;entity;external;xml;xxe,doctype;entity;external;input;parse;parser;xml;xxe,9,5,5,5,1,True,True,True,True
CVE-2018-17193,XSS (Cross-Site Scripting),"javax.servlet.ServletRequest.setAttribute:void(java.lang.String,java.lang.Object)",setAttribute,12.25,https://github.com/apache/nifi/commit/e62aa0252dfcf34dff0c3a9c51265b1d0f9dfc9f,True,downloaded,https://github.com/apache/nifi/commit/e62aa0252dfcf34dff0c3a9c51265b1d0f9dfc9f.patch,/root/mddc/artifacts/patch_cache/lxxvii_asr_patch_differential/e62aa0252dfcf34dff0c3a9c51265b1d0f9dfc9f.patch_57433589df20cf12.patch,22705,dd02060d8d873023a76302b3e9a992956f092d4a915630a57ea31b2ece4d9cc2,,attribute;javax;request;servlet,block;encode;escape;html;sanitize;script;validation;xss,attribute;encode;escape;html;request;sanitize;script;xss,4,6,5,3,1,True,True,True,True
CVE-2018-18240,Deserialization of Untrusted Data,java.io.ObjectInputStream.readObject:java.lang.Object(),readObject,10.25,https://github.com/pippo-java/pippo/commit/c6b26551a82d2dd32097fcb17c13c3b830916296,True,downloaded,https://github.com/pippo-java/pippo/commit/c6b26551a82d2dd32097fcb17c13c3b830916296.patch,/root/mddc/artifacts/patch_cache/lxxvii_asr_patch_differential/c6b26551a82d2dd32097fcb17c13c3b830916296.patch_b6c6d97276a0e0f4.patch,6707,d1645c84d80e8842d6023f0353da27182ff440b2d8340ebd1eb6f4675eb9c188,,input;read;stream,allowlist;deserialize;pickle;reject;safe;serialization,deserialize;pickle;read;serialization;stream,3,4,2,1,0,True,True,True,True
CVE-2018-18628,Deserialization of Untrusted Data,java.io.ObjectInputStream.readObject:java.lang.Object(),readObject,11.25,https://github.com/pippo-java/pippo/commit/c6b26551a82d2dd32097fcb17c13c3b830916296,True,cached,https://github.com/pippo-java/pippo/commit/c6b26551a82d2dd32097fcb17c13c3b830916296.patch,/root/mddc/artifacts/patch_cache/lxxvii_asr_patch_differential/c6b26551a82d2dd32097fcb17c13c3b830916296.patch_b6c6d97276a0e0f4.patch,6707,d1645c84d80e8842d6023f0353da27182ff440b2d8340ebd1eb6f4675eb9c188,,input;read;stream,allowlist;deserialize;pickle;serialization,allowlist;deserialize;filter;input;pickle;serialization;stream,3,4,2,1,0,True,True,True,True
CVE-2018-19859,Path Travelsal,"java.io.File.<init>:void(java.io.File,java.lang.String)",<init>,13.25,https://github.com/OpenRefine/OpenRefine/commit/e243e73e4064de87a913946bd320fbbe246da656,True,downloaded,https://github.com/OpenRefine/OpenRefine/commit/e243e73e4064de87a913946bd320fbbe246da656.patch,/root/mddc/artifacts/patch_cache/lxxvii_asr_patch_differential/e243e73e4064de87a913946bd320fbbe246da656.patch_b0ab62d6ade3ca51.patch,2299,e1e3145ebd0b1003cc19e393b8c6e566b99e4f4a686da66ba483216619df5c72,,file;init,base;canonical;directory;normalize;path;realpath;startswith;traversal;validation,base;canonical;directory;file;normalize;path;realpath;safe;startswith;traversal,2,2,5,4,0,True,True,True,True
CVE-2018-20059,XXE (Improper Restriction of XML External Entity Reference),javax.xml.bind.Unmarshaller.unmarshal:java.lang.Object(javax.xml.stream.XMLStreamReader),unmarshal,13.25,https://github.com/pippo-java/pippo/commit/9f36e5891c0b11f840e1e1561ae96d83ba9ce759,True,downloaded,https://github.com/pippo-java/pippo/commit/9f36e5891c0b11f840e1e1561ae96d83ba9ce759.patch,/root/mddc/artifacts/patch_cache/lxxvii_asr_patch_differential/9f36e5891c0b11f840e1e1561ae96d83ba9ce759.patch_155751459bd752c2.patch,2130,99bc583094b46c5a7bdebb19b0b2202761794c25637ffba688b8a720a55f9d3e,,bind;javax;reader;stream;unmarshal;unmarshaller;xmlstream,block;doctype;entity;external;xml;xxe,doctype;entity;external;xml;xxe,5,1,2,2,0,True,True,True,True
CVE-2019-10770,XSS (Cross-Site Scripting),ratpack.error.internal.ErrorPageRenderer$BodyWriter.print:ratpack.error.internal.ErrorPageRenderer$BodyWriter(java.lang.String),print,13.25,https://github.com/ratpack/ratpack/commit/a3cbb13be1527874528c3b99fc33517c0297b6d3,True,downloaded,https://github.com/ratpack/ratpack/commit/a3cbb13be1527874528c3b99fc33517c0297b6d3.patch,/root/mddc/artifacts/patch_cache/lxxvii_asr_patch_differential/a3cbb13be1527874528c3b99fc33517c0297b6d3.patch_35114c32b45fa114.patch,3082,2071bdd957f6bc84d3ed60b7775bc0f53668c082d235bf32ff610065e002bcd5,,body;error;internal;page;print;ratpack;renderer;writer,encode;escape;html;sanitize;script;xss,encode;error;escape;html;page;print;sanitize;script;writer;xss,8,6,3,3,0,True,True,True,True
CVE-2019-17091,XSS (Cross-Site Scripting),javax.faces.context.PartialResponseWriter.write:void(java.lang.String),write,12.25,https://github.com/eclipse-ee4j/mojarra/commit/a3fa9573789ed5e867c43ea38374f4dbd5a8f81f,True,downloaded,https://github.com/eclipse-ee4j/mojarra/commit/a3fa9573789ed5e867c43ea38374f4dbd5a8f81f.patch,/root/mddc/artifacts/patch_cache/lxxvii_asr_patch_differential/a3fa9573789ed5e867c43ea38374f4dbd5a8f81f.patch_e831b07e5d2b299c.patch,1074,ca0e78ff6e991351f6d03f8e65728b1551c4d507a2d0ad9eadd63202626861c6,,context;faces;javax;partial;response;write;writer,encode;escape;html;sanitize;script;xss,encode;escape;html;partial;response;sanitize;script;write;xss,5,2,0,0,0,True,False,False,False
CVE-2019-20366,XSS (Cross-Site Scripting),"javax.servlet.ServletRequest.setAttribute:void(java.lang.String,java.lang.Object)",setAttribute,13.25,https://github.com/igniterealtime/Openfire/commit/fef55d4be50da8f66f468d9e7d822528acb8273d,True,downloaded,https://github.com/igniterealtime/Openfire/commit/fef55d4be50da8f66f468d9e7d822528acb8273d.patch,/root/mddc/artifacts/patch_cache/lxxvii_asr_patch_differential/fef55d4be50da8f66f468d9e7d822528acb8273d.patch_388de7c35e939171.patch,4833,aea38493307d15c0cdd35fec2067ce82981a9152cf3b795c20acdab43b2669a1,,attribute;javax;request;servlet,encode;escape;html;sanitize;script;validation;xss,attribute;encode;escape;html;sanitize;script;xss,3,2,2,2,0,True,True,True,True
CVE-2019-3772,XXE (Improper Restriction of XML External Entity Reference),"javax.xml.transform.Transformer.transform:void(javax.xml.transform.Source,javax.xml.transform.Result)",transform,10.25,https://github.com/spring-projects/spring-integration/commit/59c69ed40d3755ef59f80872e0ea711adbb13620,True,downloaded,https://github.com/spring-projects/spring-integration/commit/59c69ed40d3755ef59f80872e0ea711adbb13620.patch,/root/mddc/artifacts/patch_cache/lxxvii_asr_patch_differential/59c69ed40d3755ef59f80872e0ea711adbb13620.patch_b3d784fdaac13be7.patch,62981,169d460e776d542bf0c67baff7e4a92e284de444c9d321ad9dd1dd70928357bf,,javax;result;source;transform;transformer,doctype;entity;external;xml;xxe,doctype;entity;external;result;source;transform;transformer;xml;xxe,5,5,2,2,1,True,True,True,True
CVE-2019-5312,XXE (Improper Restriction of XML External Entity Reference),javax.xml.parsers.DocumentBuilder.parse:org.w3c.dom.Document(java.io.InputStream),parse,13.25,https://github.com/Wechat-Group/WxJava/commit/8ec61d1328f50e23cd14285a950ca57a088b32b2,True,downloaded,https://github.com/Wechat-Group/WxJava/commit/8ec61d1328f50e23cd14285a950ca57a088b32b2.patch,/root/mddc/artifacts/patch_cache/lxxvii_asr_patch_differential/8ec61d1328f50e23cd14285a950ca57a088b32b2.patch_b931133b51a33db1.patch,4736,aff9ee855dc381bf9e3cf9773f119f0beba56c6115f66623a1f73af4620ca43f,,builder;document;input;javax;parse;parsers;stream,doctype;entity;external;xml;xxe,doctype;entity;external;input;stream;xml;xxe,5,4,3,3,1,True,True,True,True
CVE-2020-10683,XXE (Improper Restriction of XML External Entity Reference),org.dom4j.io.SAXReader.read:org.dom4j.Document(org.xml.sax.InputSource),read,11.25,https://github.com/dom4j/dom4j/commit/1707bf3d898a8ada3b213acb0e3b38f16eaae73d,True,downloaded,https://github.com/dom4j/dom4j/commit/1707bf3d898a8ada3b213acb0e3b38f16eaae73d.patch,/root/mddc/artifacts/patch_cache/lxxvii_asr_patch_differential/1707bf3d898a8ada3b213acb0e3b38f16eaae73d.patch_7c7bf4bbec0026da.patch,1449,13f5fb4c6d79b77311d7f0fe13eb1a5b146eeb41445b9f06489b464df8417e56,,document;dom4j;input;read;saxreader;source,doctype;entity;external;safe;xml;xxe,allow;doctype;document;dom4j;entity;external;read;saxreader;xml;xxe,6,4,2,2,0,True,True,True,True
CVE-2020-11995,Deserialization of Untrusted Data,"org.apache.dubbo.common.serialize.fastjson.FastJsonObjectInput.readObject:java.lang.Object(java.lang.Class,java.lang.reflect.Type)",readObject,11.25,https://github.com/apache/dubbo/commit/d2e9baf380108950c48e0ab700ccdbf11dd753ab,True,downloaded,https://github.com/apache/dubbo/commit/d2e9baf380108950c48e0ab700ccdbf11dd753ab.patch,/root/mddc/artifacts/patch_cache/lxxvii_asr_patch_differential/d2e9baf380108950c48e0ab700ccdbf11dd753ab.patch_e675817e2710e8b2.patch,19489,7123cf93d88b06b5a1709c86fa2c90d39a1efc56ab9b0ecaf30df5e3aaca5776,,apache;class;common;dubbo;fast;fastjson;input;json;read;reflect;serialize,allow;allowlist;deserialize;pickle;reject;safe;serialization;validate,allowlist;base;class;deserialize;fastjson;input;json;pickle;serialization;validation,7,3,2,1,0,True,True,True,True
CVE-2020-13921,SQL Injection,"org.apache.skywalking.oap.server.library.client.jdbc.hikaricp.JDBCHikariCPClient.executeQuery:java.sql.ResultSet(java.sql.Connection,java.lang.String,java.lang.Object[])",executeQuery,10.25,https://github.com/apache/skywalking/commit/fb7912c6bdda06a233f4b3e18e71a87d3e4a8951,True,downloaded,https://github.com/apache/skywalking/commit/fb7912c6bdda06a233f4b3e18e71a87d3e4a8951.patch,/root/mddc/artifacts/patch_cache/lxxvii_asr_patch_differential/fb7912c6bdda06a233f4b3e18e71a87d3e4a8951.patch_e71c8ace24db3787.patch,6039,4b23d88c4fb143fc5233896e64366bcd7361dfcb5baba1e1a4f8590dbbc6abf7,,apache;client;connection;cpclient;execute;hikaricp;jdbc;jdbchikari;library;query;result;server;skywalking,,allowlist;connection;query;validation,3,1,0,0,0,True,False,False,False
CVE-2020-13940,XXE (Improper Restriction of XML External Entity Reference),"org.apache.nifi.controller.serialization.FlowSerializer.transform:java.lang.Object(org.apache.nifi.controller.FlowController,org.apache.nifi.controller.serialization.ScheduledStateLookup)",transform,13.25,https://github.com/apache/nifi/commit/7f0416ee8bdcee95e28409cc6fae9c1394c2a798,True,downloaded,https://github.com/apache/nifi/commit/7f0416ee8bdcee95e28409cc6fae9c1394c2a798.patch,/root/mddc/artifacts/patch_cache/lxxvii_asr_patch_differential/7f0416ee8bdcee95e28409cc6fae9c1394c2a798.patch_70b87a24877bafc4.patch,79992,92dffc5c557e6d199c263de4a9d8575772646a33e48af8e00673e2bf06f75a12,,apache;controller;flow;lookup;nifi;scheduled;serialization;serializer;state;transform,doctype;entity;external;xml;xxe,doctype;entity;external;flow;serialization;transform;xml;xxe,10,8,5,5,3,True,True,True,True
CVE-2020-1714,Deserialization of Untrusted Data,java.io.ObjectInput.readObject:java.lang.Object(),readObject,10.25,https://github.com/keycloak/keycloak/commit/33863ba16117844930a38ebde57a25258f5b80fd,True,downloaded,https://github.com/keycloak/keycloak/commit/33863ba16117844930a38ebde57a25258f5b80fd.patch,/root/mddc/artifacts/patch_cache/lxxvii_asr_patch_differential/33863ba16117844930a38ebde57a25258f5b80fd.patch_461a366839349fb5.patch,28462,0744e7d35d51353e00bb8cc748315dad82a8565419f1fe5355bdd023bbbcb8e9,,input;read,allowlist;deserialize;pickle;safe;serialization,deserialize;pickle;read;serialization,2,3,2,1,0,True,True,True,True
CVE-2020-17532,Deserialization of Untrusted Data,org.yaml.snakeyaml.Yaml.loadAll:java.lang.Iterable(java.io.InputStream),loadAll,13.25,https://github.com/apache/servicecomb-java-chassis/commit/839a52e27c754cb5ce14f20063902f21065bd26c,True,downloaded,https://github.com/apache/servicecomb-java-chassis/commit/839a52e27c754cb5ce14f20063902f21065bd26c.patch,/root/mddc/artifacts/patch_cache/lxxvii_asr_patch_differential/839a52e27c754cb5ce14f20063902f21065bd26c.patch_4e66b3faaa9c32a5.patch,19864,6635628c12d1629fadb0d6a297077c48222802f5dc22a44e966826ef498a0a14,,input;iterable;load;snakeyaml;stream;yaml,deserialize;pickle;safe;serialization,deserialize;input;pickle;serialization;yaml,5,3,2,1,0,True,True,True,True
CVE-2020-1937,SQL Injection,org.apache.kylin.rest.service.QueryService.querySystemCube:org.apache.kylin.rest.response.SQLResponse(java.lang.String),querySystemCube,11.25,https://github.com/apache/kylin/commit/e373c64c96a54a7abfe4bccb82e8feb60db04749,True,downloaded,https://github.com/apache/kylin/commit/e373c64c96a54a7abfe4bccb82e8feb60db04749.patch,/root/mddc/artifacts/patch_cache/lxxvii_asr_patch_differential/e373c64c96a54a7abfe4bccb82e8feb60db04749.patch_70709991235b4fad.patch,10371,3e8d88832cdaacb29e11705d6ecce2ab75c256a327e79e7cb1f0e172a7cbfe96,,apache;cube;kylin;query;response;rest;service;sqlresponse;system,allowlist;authorization;reject;safe,allowlist;cube;query;system;validation,8,3,0,0,0,True,False,False,False
CVE-2020-2222,XSS (Cross-Site Scripting),com.gargoylesoftware.htmlunit.html.HtmlPage.executeJavaScript:com.gargoylesoftware.htmlunit.ScriptResult(java.lang.String),executeJavaScript,13.25,https://github.com/jenkinsci/jenkins/commit/e7443ef2ef255253231f3f1db0034fae39f0cba5,True,downloaded,https://github.com/jenkinsci/jenkins/commit/e7443ef2ef255253231f3f1db0034fae39f0cba5.patch,/root/mddc/artifacts/patch_cache/lxxvii_asr_patch_differential/e7443ef2ef255253231f3f1db0034fae39f0cba5.patch_e5cc6d7dfd757bdd.patch,8214,dbcac4d8ea8d1d2b909f3d5cfab986756bf06a40bf92214f7e8179f282d39423,,execute;gargoylesoftware;html;htmlunit;page;result;script,encode;escape;html;safe;sanitize;script;validate;validation;xss,encode;escape;html;sanitize;script;xss,0,1,6,6,0,False,True,True,False
CVE-2020-2223,XSS (Cross-Site Scripting),"hudson.MarkupText.addMarkup:void(int,int,java.lang.String,java.lang.String)",addMarkup,11.25,https://github.com/jenkinsci/jenkins/commit/11f4a351224ef04cfeb9c7636fb1590b67543f3c,True,downloaded,https://github.com/jenkinsci/jenkins/commit/11f4a351224ef04cfeb9c7636fb1590b67543f3c.patch,/root/mddc/artifacts/patch_cache/lxxvii_asr_patch_differential/11f4a351224ef04cfeb9c7636fb1590b67543f3c.patch_134ebbf3686ffc79.patch,3245,474002f8c6ae7c9846e5b075b2bdf6d3bf1854d05e431bccbdf92b14cee5eef7,,hudson;markup;text,allowlist;encode;escape;html;safe;sanitize;script;validation;xss,encode;escape;html;markup;sanitize;script;xss,3,2,3,2,0,True,True,True,True
CVE-2020-2229,XSS (Cross-Site Scripting),com.gargoylesoftware.htmlunit.html.HtmlPage.executeJavaScript:com.gargoylesoftware.htmlunit.ScriptResult(java.lang.String),executeJavaScript,12.25,https://github.com/jenkinsci/jenkins/commit/fe4cbe03804d6240d0b58d0b2301ea9530a34916,True,downloaded,https://github.com/jenkinsci/jenkins/commit/fe4cbe03804d6240d0b58d0b2301ea9530a34916.patch,/root/mddc/artifacts/patch_cache/lxxvii_asr_patch_differential/fe4cbe03804d6240d0b58d0b2301ea9530a34916.patch_ef3f642e5db7a223.patch,9565,cf2e6a366a222a5f245282c808893824a4b0f10a3212cf7adeeeb2ff9688aaf6,,execute;gargoylesoftware;html;htmlunit;page;result;script,encode;escape;html;safe;sanitize;script;xss,encode;escape;html;sanitize;script;xss,0,0,4,4,0,False,True,True,False
CVE-2020-9484,Path Travelsal,"java.io.File.<init>:void(java.io.File,java.lang.String)",<init>,13.25,https://github.com/apache/tomcat/commit/bb33048e3f9b4f2b70e4da2e6c4e34ca89023b1b,True,downloaded,https://github.com/apache/tomcat/commit/bb33048e3f9b4f2b70e4da2e6c4e34ca89023b1b.patch,/root/mddc/artifacts/patch_cache/lxxvii_asr_patch_differential/bb33048e3f9b4f2b70e4da2e6c4e34ca89023b1b.patch_5846e2a11607d8ee.patch,3524,4f9e53bbedd2979d198ee5a5c98ac658ac85904b5ce05c76049c3c5a37bd0123,,file;init,base;canonical;directory;normalize;path;realpath;startswith;traversal;validation,base;canonical;directory;file;normalize;path;realpath;safe;startswith;traversal,1,3,6,5,1,True,True,True,True
CVE-2021-21605,Path Travelsal,"java.io.File.<init>:void(java.io.File,java.lang.String)",<init>,13.25,https://github.com/jenkinsci/jenkins/commit/b19b34db4b24b163d4edc53ccb84f41a3589cb08,True,downloaded,https://github.com/jenkinsci/jenkins/commit/b19b34db4b24b163d4edc53ccb84f41a3589cb08.patch,/root/mddc/artifacts/patch_cache/lxxvii_asr_patch_differential/b19b34db4b24b163d4edc53ccb84f41a3589cb08.patch_3c25b0955fd329d6.patch,13422,5cc52210177cd20bacb20d3090856d11aef54133dd6eca4b986898cc57c30dba,,file;init,base;canonical;directory;normalize;path;realpath;startswith;traversal;validation,base;canonical;directory;file;normalize;path;realpath;safe;startswith;traversal,1,2,2,2,0,True,True,True,True
CVE-2021-21608,XSS (Cross-Site Scripting),com.gargoylesoftware.htmlunit.html.HtmlPage.executeJavaScript:com.gargoylesoftware.htmlunit.ScriptResult(java.lang.String),executeJavaScript,12.25,https://github.com/jenkinsci/jenkins/commit/8c451b08886561a914ef0c30cbb9d40ea33a9bbe,True,downloaded,https://github.com/jenkinsci/jenkins/commit/8c451b08886561a914ef0c30cbb9d40ea33a9bbe.patch,/root/mddc/artifacts/patch_cache/lxxvii_asr_patch_differential/8c451b08886561a914ef0c30cbb9d40ea33a9bbe.patch_304d3f63e4e4459d.patch,32172,8a745985668138379ff0ca733941a5afab96d6a28747d55c5ef2d7c5cec52c25,,execute;gargoylesoftware;html;htmlunit;page;result;script,encode;escape;html;sanitize;script;validation;xss,encode;escape;html;page;sanitize;script;xss,2,2,5,5,1,True,True,True,True
CVE-2021-21610,XSS (Cross-Site Scripting),"hudson.markup.MarkupFormatter.html:org.kohsuke.stapler.HttpResponse(int,java.lang.String,java.util.Map)",html,12.25,https://github.com/jenkinsci/jenkins/commit/89ec0c40b68cd1e4e9f9ef5ebcafd87e7fa16589,True,downloaded,https://github.com/jenkinsci/jenkins/commit/89ec0c40b68cd1e4e9f9ef5ebcafd87e7fa16589.patch,/root/mddc/artifacts/patch_cache/lxxvii_asr_patch_differential/89ec0c40b68cd1e4e9f9ef5ebcafd87e7fa16589.patch_18c2e3b047898db3.patch,7506,fb98844a529638d06c28907b8ca905482c64142e46fb89bd9aceb0b0a9bef2e0,,formatter;html;http;hudson;kohsuke;markup;response;stapler,encode;escape;html;sanitize;script;xss,encode;escape;html;http;response;sanitize;script;xss,8,4,2,2,1,True,True,True,True
